,# Triangles,Avg. Triangle Size,Image Resolution,CPUs,Raster Mode,HOM Enabled,Runtime (ms)
0,256,1e-06,256,1,0,0,114.225
1,256,1e-06,256,1,0,1,112.756
2,256,1e-06,256,1,1,0,0.022
3,256,1e-06,256,1,1,1,18.8516
4,256,1e-06,256,1,2,0,0.017638
5,256,1e-06,256,1,2,1,19.0093
6,256,1e-06,256,2,0,0,75.6677
7,256,1e-06,256,2,0,1,92.253
8,256,1e-06,256,2,1,0,0.106513
9,256,1e-06,256,2,1,1,21.5199
10,256,1e-06,256,2,2,0,0.107213
11,256,1e-06,256,2,2,1,23.3666
12,256,1e-06,256,4,0,0,41.6977
13,256,1e-06,256,4,0,1,60.9468
14,256,1e-06,256,4,1,0,0.142431
15,256,1e-06,256,4,1,1,17.296
16,256,1e-06,256,4,2,0,0.137684
17,256,1e-06,256,4,2,1,16.0168
18,256,1e-06,256,8,0,0,25.0117
19,256,1e-06,256,8,0,1,33.1868
20,256,1e-06,256,8,1,0,0.222301
21,256,1e-06,256,8,1,1,13.3133
22,256,1e-06,256,8,2,0,0.225828
23,256,1e-06,256,8,2,1,13.8691
24,256,1e-06,256,16,0,0,15.2647
25,256,1e-06,256,16,0,1,34.1805
26,256,1e-06,256,16,1,0,0.367772
27,256,1e-06,256,16,1,1,11.3171
28,256,1e-06,256,16,2,0,0.385733
29,256,1e-06,256,16,2,1,12.047
30,256,1e-06,256,32,0,0,17.7002
31,256,1e-06,256,32,0,1,36.1331
32,256,1e-06,256,32,1,0,3.4577
33,256,1e-06,256,32,1,1,17.0621
34,256,1e-06,256,32,2,0,2.94254
35,256,1e-06,256,32,2,1,18.1905
36,256,1e-06,256,64,0,0,18.0722
37,256,1e-06,256,64,0,1,59.6356
38,256,1e-06,256,64,1,0,10.6992
39,256,1e-06,256,64,1,1,47.8691
40,256,1e-06,256,64,2,0,9.32422
41,256,1e-06,256,64,2,1,41.681
42,256,1e-06,512,1,0,0,467.742
43,256,1e-06,512,1,0,1,376.383
44,256,1e-06,512,1,1,0,0.028131
